Epochs / Batch Size,MSE,MAE,MPE
Epochs - 20 Batch Size - 32,0.493987,0.565373,15.810715
Epochs - 20 Batch Size - 64,0.500194,0.568277,16.133898
Epochs - 8 Batch Size - 32,0.499344,0.566434,16.040405
Epochs - 8 Batch Size - 64,0.503801,0.568808,16.160849
Epochs - 8 Batch Size - 32,0.5023,0.5691,15.7014
Epochs - 4 Batch Size - 64,0.588828325,0.603942633,17.73745155
Epochs - 3 Batch Size - 32,0.518949211,0.57795155,15.6376791
Epochs - 3 Batch Size - 64,0.538888693,0.583302021,16.61633682
Epochs - 2 Batch Size - 32,0.539271593,0.586305261,16.50697327
Epochs - 2 Batch Size - 64,0.542048812,0.58664304,16.59686089
Epochs - 1 Batch Size - 32,0.541326642,0.586027741,16.76485634
Epochs - 1 Batch Size - 64,0.557035565,0.596244276,17.35621452
