,MSE,MAE,MPE
CNN 20 B10,0.710438907,0.671222389,17.22252083
CNN E20 B32,0.68537432,0.657621384,17.49655914
CNN E100 B10,0.821238041,0.715901434,19.36554718
CNN E100 B32,0.857994378,0.72944665,19.44830513
CNN E75 B10,0.819501042,0.713007867,19.34798431
CNN E75 B32,0.818000734,0.714695513,19.38934517
CNN E50 B10,0.809369624,0.713086247,19.67951202
CNN E50 B32,0.8035748,0.707624853,19.35173798
LSTM E20 B10,1.259489179,0.935931385,28.36651802
LSTM E20 B32,1.259467244,0.935940504,28.36443329
LSTM E100 B10,1.259567022,0.935899556,28.37366867
LSTM E100 B32,1.259547353,0.935908079,28.37184334
LSTM E75 B10,1.259134293,0.936090708,28.3303051
LSTM E75 B32,1.259371161,0.935981333,28.35518074
LSTM E50 B10,1.2595191,0.935918987,28.36925507
LSTM E50 B32,1.259607673,0.935884058,28.37726974
RNN E100 B10,5.294888496,1.687576771,44.77811432
RNN E100 B32,1.262394428,0.935103357,28.55428886
RNN E75 B10,1.258407235,0.936662495,28.20074463
RNN E75 B32,0.632707775,0.636956513,18.14289856
RNN E50 B10,0.826492965,0.709755063,20.07280922
RNN E50 B32,0.866154194,0.728709996,20.22764206
