Sentence ID,HIT ID,Formality,Informativeness,Implicature,Length in Words,Length in Characters,F-score,I-score,Lexical Density,Adjective Density,Spellcheck Percentage,Syllable Ratio,Latinate vs Germanic,ADF Score,FK Grade Level,Reading Time,WF Score,FK Reading Ease,FOG Scale,SMOG Index,ARI,CL Index,LW Formula,DC Score,Readability Consensus,Spache Formula,Cluster,Topic,Sentence
0,3URJ6VVYUOMECRP6V4GMF5FCRMT4OQ,6.2,5.8,3.4,33,201,93.93939394,7.242424242,66.66666667,2.857142857,0,1.636363636,26.66666667,2.857142857,16.2,2.48,7.1287,37.98,20.47,0,19.2,12.31,22.5,12.93,13,8.098060606,3,1,"10In High Bay 4 of the Vehicle Assembly Building at NASA's Kennedy Space Center in Florida, technicians maneuver a second roll control system module into place for installation in the Ares I-X segment."
1,3XH7ZM9YX1TI6ANY4RTHQ8VXO1R9R0,6,6.4,4,45,266,85.55555556,5.2,62.22222222,4.347826087,0,1.4,18.18181818,4.347826087,18.5,3.26,7.8601,42.72,19.78,0,24.3,11.85,24.5,12.18,12,9.286222222,3,1,"12The oxygen vent arm and hood removed from the fixed service structure at NASA Kennedy Space Center's Launch Pad 39B is ready for transfer from the pad to a storage facility, after the pad was transferred from the Space Shuttle Program to the Constellation Program."
2,3MXX6RQ9EU4WXR17A4T145K21RP4P7,5.8,6.4,3.6,29,186,93.10344828,3.896551724,65.51724138,6.451612903,0,1.689655172,33.33333333,6.451612903,15.8,2.32,6.287,33.58,21.26,0,18.7,13.94,21.5,13.24,14,7.596965517,3,1,"13In the Rotation, Processing and Surge Facility at NASA's Kennedy Space Center in Florida, a technician performs propellant grain inspection of the inside of the Ares I-X motor segment."
3,3TFJJUELSGO30ODG1LO7RQOXIUEC25,5.2,5.8,3.6,16,98,87.5,3.375,68.75,0,0,1.625,0,0,9.5,1.22,5.7207,55.24,13.9,0,11,11.08,12,13.31,10,5.245,3,1,"14In the Vehicle Assembly Building's High Bay 4, assembly of the Ares I-X rocket nears completion."
4,3CRWSLD91J3UGHEC18GI1ZWCDDEMO3,4.6,4.8,3.2,19,108,84.21052632,6.210526316,63.15789474,10,0,1.473684211,0,10,9.5,1.32,5.9181,60.65,11.81,0,10.4,8.99,11.5,13.72,12,5.781157895,0,1,"15In the Vehicle Assembly Building's High Bay 3, a yellow framework, lifts Super Stack 5 atop Super Stack 4."
5,3E9ZFLPWOXRVE72DHK5MSJGO88ZXI3,6.2,5.8,3.6,23,142,93.47826087,5,73.91304348,3.846153846,0,1.565217391,14.28571429,3.846153846,12.3,1.76,6.854,48.13,14.42,0,14.7,12.25,15.5,13.7,15,6.699391304,3,1,16Work platforms surround the Ares I-X launch vehicle in the Vehicle Assembly Building's High Bay 4 at NASA's Kennedy Space Center in Florida.
6,36FFXPMST8N8O3D1AB059UOGWRFHOP,6,6.4,3.6,36,212,91.66666667,5.527777778,61.11111111,10,0,1.611111111,10.52631579,10,17.3,2.6,6.4373,34.94,21.07,0,19.7,10.86,25,12,12,7.826111111,3,1,"17In the Vehicle Assembly Building's High Bay 3 at Kennedy Space Center in Florida, a technician works on a platform mounted on the interior wall of the upper stage simulator of the 327-foot-tall Ares I-X rocket."
7,3EFNPKWBMRN8REEJT59SFZROFJI03C,5.8,6.2,4.8,35,208,82.85714286,4.885714286,71.42857143,5.263157895,2.857142857,1.4,0,5.263157895,14.6,2.56,6.711,52.87,16.29,0,19.5,10.34,20.5,13.49,15,7.248285714,3,1,"18The Ares I-X rocket, shown in in High Bay 3 of Kennedy Space Center's Vehicle Assembly Building is being prepared for this week's Launch Vehicle Readiness Test in Cape Canaveral, Fla., Monday, Oct. 5, 2009."
8,3OB6JN3A9POXDU6ST0XMVU1HO0YMRC,5.8,6.6,1.8,30,183,83.33333333,4.466666667,66.66666667,3.03030303,0,1.4,6.666666667,3.03030303,12.6,2.26,6.2212,57.95,14.67,0,17.7,11.15,18,13.02,18,5.929,3,1,"19The 327-foot-tall Ares I-X test rocket moves slowly to launch pad 39B from the Vehicle Assembly Building at the Kennedy Space Center in Cape Canaveral, Fla., Tuesday, Oct. 20, 2009."
9,3HFWPF5AK8I8SNYV27SCP5X7AB0S3Q,3.6,5.2,3,10,55,35,5.7,70,9.090909091,10,1.5,30,9.090909091,6,0.68,5.9958,69.79,4,0,5.2,6.76,4,12.03,4,4.829,0,4,1. bluetooth isn't turned on prior to trying to connect
